iter	Passed	Remaining
0	0	59
1	1	56
2	1	49
3	1	43
4	2	40
5	2	36
6	2	35
7	2	34
8	3	33
9	3	32
10	3	32
11	4	31
12	4	30
13	4	29
14	5	29
15	5	29
16	6	29
17	6	29
18	6	28
19	7	28
20	7	27
21	7	27
22	8	27
23	8	26
24	8	26
25	9	25
26	9	25
27	9	24
28	9	24
29	10	24
30	10	24
31	11	23
32	11	23
33	11	23
34	12	22
35	12	22
36	12	21
37	13	21
38	13	21
39	13	20
40	14	20
41	14	19
42	14	19
43	15	19
44	15	18
45	15	18
46	16	18
47	16	17
48	16	17
49	17	17
50	17	16
51	17	16
52	18	16
53	18	15
54	18	15
55	18	14
56	19	14
57	19	14
58	20	14
59	20	13
60	20	13
61	21	13
62	21	12
63	21	12
64	22	12
65	22	11
66	22	11
67	23	10
68	23	10
69	24	10
70	24	9
71	24	9
72	25	9
73	25	8
74	25	8
75	26	8
76	26	7
77	26	7
78	27	7
79	27	6
80	27	6
81	28	6
82	28	5
83	28	5
84	29	5
85	29	4
86	29	4
87	30	4
88	30	3
89	30	3
90	31	3
91	31	2
92	31	2
93	32	2
94	32	1
95	32	1
96	33	1
97	33	0
98	34	0
99	34	0
